# host=Phytium-Pi
# captured_at=2026-03-30T15:19:36+08:00
top - 15:19:36 up 11 days, 21:19,  1 user,  load average: 0.80, 0.50, 0.19
任务: 229 total,   1 running, 228 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  2.8 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    255.4 free,   1811.8 used,   1394.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1352.5 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
2199709 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker/u9:2-rtw_tx_wq
2206783 root      20   0       0      0      0 I   0.0   0.0   0:00.98 kworker/1:1-mm_percpu_wq
2245716 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker/0:2-events
2263150 root       0 -20       0      0      0 I   0.0   0.0   0:01.86 kworker/0:1H-mmc_complete
2265572 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0-cgroup_destroy
2273568 root      20   0       0      0      0 I   0.0   0.0   0:01.60 kworker/u8:1-phy0
2275042 root       0 -20       0      0      0 I   0.0   0.0   0:00.05 kworker/u9:1-rtw_tx_wq
2277586 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0
2280516 root      20   0       0      0      0 I   0.0   0.0   0:00.76 kworker/u8:3-rtw88_sdio: tx wq
2281257 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0-cgroup_destroy
2281569 root      20   0       0      0      0 I   0.0   0.0   0:00.76 kworker/2:0-events
2282185 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker/u8:2-ext4-rsv-conversion
2282370 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1H
2282979 root      20   0       0      0      0 I   0.0   0.0   0:00.44 kworker/2:2-mm_percpu_wq
2283020 root       0 -20       0      0      0 I   0.0   0.0   0:00.12 kworker/3:1H-kblockd
2283605 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H
2283680 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H
2283812 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:2H-kblockd
2284206 root      20   0   15464   7792   6552 S   0.0   0.2   0:00.03 sshd
2284257 user      20   0   15852   5088   3648 S   0.0   0.1   0:00.57 sshd
2284287 user      20   0   13920   2936   2668 S   0.0   0.1   0:00.01 bash
2284290 user      20   0   15164   2556   2312 S   0.0   0.1   0:00.11 vmstat
2284291 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2H
2284337 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:2H
2284446 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:2H
2284620 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:1-mm_percpu_wq
2284632 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker/u9:0-rtw_tx_wq
2284634 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H
2284723 user      20   0   13920   2856   2588 S   0.0   0.1   0:00.00 bash
2284726 user      20   0   15164   2672   2424 S   0.0   0.1   0:00.04 vmstat
2285027 root      20   0   12360    444    380 S   0.0   0.0   0:00.00 sleep
2285038 root      20   0   12360    440    376 S   0.0   0.0   0:00.00 sleep
