# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:22:27+08:00
Warning: Permanently added '100.121.87.73' (ED25519) to the list of known hosts.
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
printf：用法： printf [-v var] 格式 [参数]
 0  0      0 290344 675676 1381632    0    0     0     0  788 1229  0  0 99  0  0
 0  0      0 290348 675676 1381632    0    0     0     0  771 1189  0  0 100  0  0
 0  0      0 290344 675676 1381632    0    0     0     0  818 1296  1  1 98  0  0
 2  0      0 290348 675676 1381632    0    0     0     0  983 1434  1  0 99  0  0
 0  0      0 290096 675676 1381632    0    0     0     0  910 1395  0  0 99  0  0
 0  0      0 290096 675676 1381632    0    0     0     0  763 1189  1  1 98  0  0
 0  0      0 290092 675676 1381632    0    0     0     0  671 1067  0  0 100  0  0
 0  0      0 290348 675676 1381632    0    0     0    20 1023 1572  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 282692 675676 1381696    0    0     0  3432 2019 2990 18  3 79  0  0
 0  0      0 282724 675676 1381632    0    0     0     0 3647 5392  0  1 99  0  0
 0  0      0 282972 675676 1381632    0    0     0     0 2095 3450  1  1 99  0  0
 0  0      0 283228 675676 1381632    0    0     0     0 1035 1553  1  1 98  0  0
 0  0      0 289088 675676 1381632    0    0     0     0  814 1297  0  1 100  0  0
 0  0      0 289076 675680 1381628    0    0     0   172 1240 1824  0  1 99  0  0
 0  0      0 289088 675680 1381636    0    0     0     0  855 1318  1  1 98  0  0
 0  0      0 289084 675680 1381636    0    0     0     0  719 1099  0  0 100  0  0
 0  0      0 289832 675680 1381636    0    0     0     0  880 1370  0  0 99  0  0
 0  0      0 289832 675680 1381636    0    0     0     0  898 1389  1  1 98  0  0
 0  0      0 290096 675680 1381636    0    0     0     0  885 1323  0  0 100  0  0
 0  0      0 289844 675680 1381636    0    0     0    12  759 1222  0  1 99  0  0
 0  0      0 290096 675680 1381636    0    0     0     0  901 1408  1  1 98  0  0
 0  0      0 289844 675680 1381636    0    0     0     0  755 1182  0  0 100  0  0
 0  0      0 290096 675680 1381636    0    0     0     0  689 1103  0  0 100  0  0
 0  0      0 290096 675680 1381636    0    0     0     0 1223 1846  1  1 98  0  0
 0  0      0 290108 675680 1381616    0    0     0     0  780 1180  0  0 100  0  0
 0  0      0 290112 675680 1381616    0    0     0     0  890 1311  0  1 99  0  0
 0  0      0 290100 675680 1381616    0    0     0     0  890 1424  1  1 98  0  0
 0  0      0 290364 675680 1381616    0    0     0    16  799 1211  0  1 100  0  0
 0  0      0 289860 675680 1381616    0    0     0   268 1052 1563  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 290116 675680 1381616    0    0     0     0 1047 1560  1  1 98  0  0
 0  0      0 289860 675680 1381616    0    0     0     0  817 1282  0  0 99  0  0
 0  0      0 290112 675680 1381616    0    0     0     0  726 1165  0  0 100  0  0
 0  0      0 289860 675680 1381616    0    0     0     0  920 1449  1  1 98  0  0
 0  0      0 290112 675680 1381616    0    0     0     0 1061 1595  0  1 99  0  0
 0  0      0 289860 675680 1381616    0    0     0    48  756 1195  0  0 99  0  0
 0  0      0 290112 675680 1381616    0    0     0     0 1195 1837  1  1 98  0  0
 0  0      0 290108 675680 1381616    0    0     0     0  853 1351  0  0 99  0  0
 0  0      0 290112 675680 1381616    0    0     0     0  770 1164  0  0 100  0  0
 0  0      0 290100 675680 1381616    0    0     0   196 1790 2705  1  1 98  0  0
 0  0      0 290112 675684 1381616    0    0     0    44 1053 1579  0  0 99  0  0
 0  0      0 290108 675684 1381616    0    0     0     0  751 1215  0  0 100  0  0
 0  0      0 290120 675684 1381616    0    0     0     0  898 1366  1  1 98  0  0
 1  0      0 290112 675684 1381616    0    0     0     0  777 1211  1  1 99  0  0
 2  0      0 290364 675684 1381616    0    0     0     0 1065 1590  0  0 100  0  0
 0  0      0 290612 675684 1381616    0    0     0    24  890 1397  1  1 98  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  837 1249  0  0 99  0  0
 0  0      0 290616 675684 1381616    0    0     0     0  725 1151  0  0 100  0  0
 0  0      0 290104 675684 1381616    0    0     0     0  700  994  1  1 99  0  0
 0  0      0 290364 675684 1381616    0    0     0     0 1031 1598  0  0 99  0  0
 0  0      0 290360 675684 1381616    0    0     0     0  664  948  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 290356 675684 1381616    0    0     0     0  737 1171  1  0 99  0  0
 0  0      0 290360 675684 1381616    0    0     0     0 1009 1531  1  0 99  0  0
 1  0      0 290364 675684 1381616    0    0     0     0  747 1181  0  0 100  0  0
 1  0      0 290356 675684 1381616    0    0     0     0 1076 1573  1  1 98  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  728 1150  0  0 99  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  803 1279  0  0 100  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  791 1256  1  1 99  0  0
 0  0      0 290364 675684 1381616    0    0     0    20  769 1192  0  0 99  0  0
 0  0      0 290364 675684 1381616    0    0     0     0 1031 1647  0  0 100  0  0
 0  0      0 290120 675684 1381616    0    0     0     0 1270 1947  1  1 98  0  0
 0  0      0 290112 675684 1381616    0    0     0     0  739 1183  0  1 100  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  886 1372  0  0 99  0  0
 0  0      0 290608 675684 1381616    0    0     0     0 1155 1816  3  1 97  0  0
 0  0      0 290616 675684 1381616    0    0     0     0 1017 1543  0  1 100  0  0
 0  0      0 290616 675684 1381616    0    0     0    36  985 1534  1  1 99  0  0
 0  0      0 290616 675684 1381616    0    0     0    24  844 1232  1  1 99  0  0
 0  0      0 290364 675684 1381616    0    0     0     0  693 1117  1  0 100  0  0
 0  0      0 290616 675684 1381616    0    0     0     0  879 1323  0  1 99  0  0
 0  0      0 281212 675684 1381612    0    0     0     0 1818 2560 16  2 82  0  0
 0  0      0 281480 675684 1381616    0    0     0     0  746 1132  0  0 100  0  0
 0  0      0 281228 675684 1381616    0    0     0     0  741 1178  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 281480 675684 1381616    0    0     0     0  828 1302  1  1 98  0  0
