# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-18T05:29:24+08:00
# started_remote=2026-03-18T05:29:24+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 466828 505128 1133896    0    0     0     0  841 1355  0  1 98  0  0
 0  0      0 468388 505128 1133896    0    0     0     0 1010 1615  1  1 98  0  0
 0  0      0 475428 505128 1133928    0    0     0     0  879 1417  1  1 98  0  0
 0  0      0 473608 505128 1133896    0    0     0     0 1174 1744  3  1 96  0  0
 0  0      0 466260 505128 1133896    0    0     0    52 1417 2193 11  2 87  0  0
 0  0      0 466728 505128 1133896    0    0     0     0 1211 1943  2  1 97  0  0
 0  0      0 469740 505128 1133896    0    0     0     0  815 1312  1  1 98  0  0
 0  0      0 470828 505128 1133896    0    0     0     0  828 1321  1  1 98  0  0
 0  0      0 478452 505128 1133896    0    0     0     0  938 1502  1  1 99  0  0
 3  0      0 464308 505128 1133896    0    0     0    56 1645 2382 22  2 76  0  0
 0  0      0 464308 505128 1133896    0    0     0    72  754 1215  1  1 97  0  0
 0  0      0 467584 505128 1133896    0    0     0     0  868 1360  1  1 99  0  0
 0  0      0 474372 505128 1133896    0    0     0    12  957 1539  1  0 99  0  0
 0  0      0 474120 505128 1133896    0    0     0     0  896 1414  1  1 99  0  0
 0  0      0 465536 505128 1133876    0    0     0     0 1854 2909  7  2 90  0  0
 0  0      0 465520 505128 1133896    0    0     0     0  981 1572  1  0 99  0  0
 0  0      0 465268 505136 1133888    0    0     0    96  855 1392  1  0 98  0  0
 0  0      0 465016 505136 1133896    0    0     0   116 1047 1624  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 471600 505136 1133896    0    0     0     0  850 1380  1  1 97  0  0
 0  0      0 456496 505136 1133896    0    0     0     0 1543 2323 10  2 88  0  0
 0  0      0 456496 505136 1133896    0    0     0     0  651  995  1  1 98  0  0
 0  0      0 459136 505136 1133896    0    0     0     0  930 1467  1  1 98  0  0
 0  0      0 464788 505136 1133896    0    0     0     4  810 1288  1  1 99  0  0
 0  0      0 464488 505144 1133896    0    0     0    60  941 1469  1  1 99  0  0
 0  0      0 468236 505144 1133896    0    0     0     0 1352 2030 21  3 76  0  0
 0  0      0 468676 505144 1133896    0    0     0     0 3458 4701  2  2 96  0  0
 0  0      0 468976 505144 1133864    0    0     0     0 3187 4068  1  1 98  0  0
 0  0      0 469180 505144 1133896    0    0     0     0 2664 3423  1  1 98  0  0
 0  0      0 477136 505144 1133896    0    0     0     0 2083 3272  0  1 99  0  0
 0  0      0 470504 505144 1133888    0    0     0    56 2703 3998  8  2 90  0  0
 0  0      0 470000 505144 1133896    0    0     0     0 3162 4162  6  2 92  0  0
 0  0      0 472516 505144 1133896    0    0     0     0 1004 1566  1  1 99  0  0
